id_number,question_string,solved_int,level_int,question_link
1028,Collectable Cards,21926,3,https://judge.beecrowd.com/en/problems/view/1028
1093,Vampires,2617,3,https://judge.beecrowd.com/en/problems/view/1093
1138,Digits Count,1548,8,https://judge.beecrowd.com/en/problems/view/1138
1161,Factorial Sum,23406,5,https://judge.beecrowd.com/en/problems/view/1161
1163,Angry Ducks,1968,7,https://judge.beecrowd.com/en/problems/view/1163
1169,Grains in a Chess Board,9011,4,https://judge.beecrowd.com/en/problems/view/1169
1170,Blobs,15694,3,https://judge.beecrowd.com/en/problems/view/1170
1193,Base Conversion,5064,3,https://judge.beecrowd.com/en/problems/view/1193
1197,Back to High School Physics,12698,1,https://judge.beecrowd.com/en/problems/view/1197
1198,Hashmat the Brave Warrior,12372,5,https://judge.beecrowd.com/en/problems/view/1198
1199,Simple Base Conversion,5631,3,https://judge.beecrowd.com/en/problems/view/1199
1202,White Nights Festival,1234,7,https://judge.beecrowd.com/en/problems/view/1202
1212,Primary Arithmetic,7060,8,https://judge.beecrowd.com/en/problems/view/1212
1213,Ones,3061,5,https://judge.beecrowd.com/en/problems/view/1213
1214,Above Average,9543,3,https://judge.beecrowd.com/en/problems/view/1214
1219,Colourful Flowers,2787,5,https://judge.beecrowd.com/en/problems/view/1219
1220,The Trip,1185,7,https://judge.beecrowd.com/en/problems/view/1220
1221,Fast Prime Number,14732,6,https://judge.beecrowd.com/en/problems/view/1221
1230,Integral,74,10,https://judge.beecrowd.com/en/problems/view/1230
1232,Rubik Cycle,342,7,https://judge.beecrowd.com/en/problems/view/1232
1233,Star,1214,6,https://judge.beecrowd.com/en/problems/view/1233
1240,Fit or Dont Fit I,9916,2,https://judge.beecrowd.com/en/problems/view/1240
1247,Coast Guard,5075,2,https://judge.beecrowd.com/en/problems/view/1247
1264,An Easy Problem!,536,7,https://judge.beecrowd.com/en/problems/view/1264
1279,Leap Year or Not Leap Year and …,3728,6,https://judge.beecrowd.com/en/problems/view/1279
1280,Friends,196,9,https://judge.beecrowd.com/en/problems/view/1280
1289,What is the Probability?,456,7,https://judge.beecrowd.com/en/problems/view/1289
1297,Environment Protection,264,10,https://judge.beecrowd.com/en/problems/view/1297
1304,Average Speed,965,6,https://judge.beecrowd.com/en/problems/view/1304
1306,Numbering Roads,2155,3,https://judge.beecrowd.com/en/problems/view/1306
1307,All You Need Is Love,2363,4,https://judge.beecrowd.com/en/problems/view/1307
1308,Etruscan Warriors Never Play Chess,2595,5,https://judge.beecrowd.com/en/problems/view/1308
1309,Monetary Formatting,2921,4,https://judge.beecrowd.com/en/problems/view/1309
1323,Feynman,8016,1,https://judge.beecrowd.com/en/problems/view/1323
1324,Higgs Boson,44,10,https://judge.beecrowd.com/en/problems/view/1324
1338,It-Miha,157,9,https://judge.beecrowd.com/en/problems/view/1338
1346,Child Play,47,10,https://judge.beecrowd.com/en/problems/view/1346
1347,Kryptonite Mine,37,10,https://judge.beecrowd.com/en/problems/view/1347
1352,Square Lottery,68,8,https://judge.beecrowd.com/en/problems/view/1352
1353,Super Poker,34,5,https://judge.beecrowd.com/en/problems/view/1353
1371,Close the Doors!,2518,3,https://judge.beecrowd.com/en/problems/view/1371
1376,Brothers,277,6,https://judge.beecrowd.com/en/problems/view/1376
1380,Bacilli Population Growth,480,8,https://judge.beecrowd.com/en/problems/view/1380
1381,Diophantine Equations,596,7,https://judge.beecrowd.com/en/problems/view/1381
1390,Bases,49,9,https://judge.beecrowd.com/en/problems/view/1390
1392,Electric Bill,253,6,https://judge.beecrowd.com/en/problems/view/1392
1393,Hexagonal Tiles,3013,2,https://judge.beecrowd.com/en/problems/view/1393
1398,Ocean Deep! Make it Shallow!!,978,6,https://judge.beecrowd.com/en/problems/view/1398
1399,Array Transformer,371,9,https://judge.beecrowd.com/en/problems/view/1399
1400,Counting Game,756,5,https://judge.beecrowd.com/en/problems/view/1400
1422,Bacteria,165,9,https://judge.beecrowd.com/en/problems/view/1422
1429,Factorial Again!,4739,1,https://judge.beecrowd.com/en/problems/view/1429
1433,The Splitting Club,86,10,https://judge.beecrowd.com/en/problems/view/1433
1434,Roman Patrollers,58,7,https://judge.beecrowd.com/en/problems/view/1434
1436,Brick Game,7000,2,https://judge.beecrowd.com/en/problems/view/1436
1444,Drakes' Racing,1006,4,https://judge.beecrowd.com/en/problems/view/1444
1450,Ramesses' Games,74,9,https://judge.beecrowd.com/en/problems/view/1450
1457,Oracle of Alexandria,3474,1,https://judge.beecrowd.com/en/problems/view/1457
1465,"Complex, Difficult and Complicated",196,5,https://judge.beecrowd.com/en/problems/view/1465
1481,Zing Zhu’s Oyster Farm,59,10,https://judge.beecrowd.com/en/problems/view/1481
1484,Type & Add,132,7,https://judge.beecrowd.com/en/problems/view/1484
1488,Magic Numbers?,188,7,https://judge.beecrowd.com/en/problems/view/1488
1492,Counting Ones,924,5,https://judge.beecrowd.com/en/problems/view/1492
1501,How Many Zeros and How Many Digits?,251,9,https://judge.beecrowd.com/en/problems/view/1501
1505,Curo Factories,50,10,https://judge.beecrowd.com/en/problems/view/1505
1512,Tiles,2064,5,https://judge.beecrowd.com/en/problems/view/1512
1526,Transporting Snacks,17,5,https://judge.beecrowd.com/en/problems/view/1526
1531,Fibonacci Again!,529,10,https://judge.beecrowd.com/en/problems/view/1531
1537,Bank Line,988,4,https://judge.beecrowd.com/en/problems/view/1537
1544,The Last Non-zero Digit,466,8,https://judge.beecrowd.com/en/problems/view/1544
1554,N.1 Continuous,1985,5,https://judge.beecrowd.com/en/problems/view/1554
1555,Functions,16849,1,https://judge.beecrowd.com/en/problems/view/1555
1563,The Big Problem,148,10,https://judge.beecrowd.com/en/problems/view/1563
1567,(2/3/4)-D Sqr/Rects/Cubes/Boxes?,255,5,https://judge.beecrowd.com/en/problems/view/1567
1568,{sum+=i++} to Reach N,466,10,https://judge.beecrowd.com/en/problems/view/1568
1570,A Day in Math-Land,168,10,https://judge.beecrowd.com/en/problems/view/1570
1572,The Unreal Tournament,46,10,https://judge.beecrowd.com/en/problems/view/1572
1577,Constructible Regular Polygons,301,6,https://judge.beecrowd.com/en/problems/view/1577
1580,Quid Est Veritas? Est Vir Qui Adest!,857,6,https://judge.beecrowd.com/en/problems/view/1580
1582,The Pythagorean Theorem,3510,5,https://judge.beecrowd.com/en/problems/view/1582
1585,Making Kites,6363,1,https://judge.beecrowd.com/en/problems/view/1585
1620,Delaunay Triangulation,1707,4,https://judge.beecrowd.com/en/problems/view/1620
1623,The Language,249,9,https://judge.beecrowd.com/en/problems/view/1623
1624,Promotion,808,4,https://judge.beecrowd.com/en/problems/view/1624
1625,Robocopy,2,5,https://judge.beecrowd.com/en/problems/view/1625
1626,The Incredible Chapecoense Pizza Contest,107,10,https://judge.beecrowd.com/en/problems/view/1626
1630,Stakes,1548,1,https://judge.beecrowd.com/en/problems/view/1630
1634,Another Lottery,220,5,https://judge.beecrowd.com/en/problems/view/1634
1635,Ballot Evaluation,169,9,https://judge.beecrowd.com/en/problems/view/1635
1641,Alfredo's Pizza Restaurant,1351,3,https://judge.beecrowd.com/en/problems/view/1641
1644,Decode the Strings,136,9,https://judge.beecrowd.com/en/problems/view/1644
1647,A Game with Marbles,783,3,https://judge.beecrowd.com/en/problems/view/1647
1650,Black and White Painting,475,3,https://judge.beecrowd.com/en/problems/view/1650
1656,Halloween Treats,184,8,https://judge.beecrowd.com/en/problems/view/1656
1658,Dihedral Groups,32,7,https://judge.beecrowd.com/en/problems/view/1658
1660,Flavius Josephus Reloaded,138,7,https://judge.beecrowd.com/en/problems/view/1660
1662,Homogeneous Squares,44,7,https://judge.beecrowd.com/en/problems/view/1662
1674,Fractran,15,5,https://judge.beecrowd.com/en/problems/view/1674
1688,Intergalactic Nim,52,7,https://judge.beecrowd.com/en/problems/view/1688
1694,Lottery,348,8,https://judge.beecrowd.com/en/problems/view/1694
1697,Jaida and Multiply Game,642,9,https://judge.beecrowd.com/en/problems/view/1697
1703,Jumping Stones,54,10,https://judge.beecrowd.com/en/problems/view/1703
1705,Binary Lover,205,10,https://judge.beecrowd.com/en/problems/view/1705
1722,How many Fibs?,545,8,https://judge.beecrowd.com/en/problems/view/1722
1729,Average is not Fast Enough!,253,6,https://judge.beecrowd.com/en/problems/view/1729
1734,Bound Found,18,5,https://judge.beecrowd.com/en/problems/view/1734
1735,Code the Tree,170,6,https://judge.beecrowd.com/en/problems/view/1735
1736,Decode the Tree,42,9,https://judge.beecrowd.com/en/problems/view/1736
1745,Counting Substhreengs,396,6,https://judge.beecrowd.com/en/problems/view/1745
1754,The Time Room,444,6,https://judge.beecrowd.com/en/problems/view/1754
1756,Genetic Algorithm,213,4,https://judge.beecrowd.com/en/problems/view/1756
1760,Koch Snowflake,1438,2,https://judge.beecrowd.com/en/problems/view/1760
1761,Christmas Decorations,1704,1,https://judge.beecrowd.com/en/problems/view/1761
1776,Prom,301,9,https://judge.beecrowd.com/en/problems/view/1776
1785,Kaprekar,802,3,https://judge.beecrowd.com/en/problems/view/1785
1795,Trinomial Triangle,4479,2,https://judge.beecrowd.com/en/problems/view/1795
1801,Playing with Numbers,233,8,https://judge.beecrowd.com/en/problems/view/1801
1805,Natural Sum,10712,6,https://judge.beecrowd.com/en/problems/view/1805
1807,"Trinomial Triangle, the Revenge",1467,5,https://judge.beecrowd.com/en/problems/view/1807
1812,A Cluster to Avoid Floods,2,5,https://judge.beecrowd.com/en/problems/view/1812
1815,Drunk People?,130,8,https://judge.beecrowd.com/en/problems/view/1815
1819,Estimating Production,7,5,https://judge.beecrowd.com/en/problems/view/1819
1829,Biggest Number Game,727,7,https://judge.beecrowd.com/en/problems/view/1829
1830,Boxes of Chocolates,126,9,https://judge.beecrowd.com/en/problems/view/1830
1831,Hard Day At Work,195,9,https://judge.beecrowd.com/en/problems/view/1831
1839,The Chamber of Secrets,264,7,https://judge.beecrowd.com/en/problems/view/1839
1841,The Goblet of Fire,114,10,https://judge.beecrowd.com/en/problems/view/1841
1869,Base 32,1546,5,https://judge.beecrowd.com/en/problems/view/1869
1872,Palindrome Double,78,10,https://judge.beecrowd.com/en/problems/view/1872
1904,Odds and Evens 2.0,382,9,https://judge.beecrowd.com/en/problems/view/1904
1909,Help Kiko,514,7,https://judge.beecrowd.com/en/problems/view/1909
1921,Guilherme and His Kites,6787,3,https://judge.beecrowd.com/en/problems/view/1921
1926,Marianne and The Twin Cousins,814,8,https://judge.beecrowd.com/en/problems/view/1926
1946,Pyramid of Fortune,283,5,https://judge.beecrowd.com/en/problems/view/1946
1949,Shift Register,28,10,https://judge.beecrowd.com/en/problems/view/1949
1967,The Final Frontier,741,6,https://judge.beecrowd.com/en/problems/view/1967
1968,The Undiscovered Country,80,10,https://judge.beecrowd.com/en/problems/view/1968
1969,Generations,53,10,https://judge.beecrowd.com/en/problems/view/1969
1981,Shuffling Again,321,9,https://judge.beecrowd.com/en/problems/view/1981
1989,Doing Nothing,808,4,https://judge.beecrowd.com/en/problems/view/1989
1990,Equilibrium,83,9,https://judge.beecrowd.com/en/problems/view/1990
1992,Gaining Time,3,5,https://judge.beecrowd.com/en/problems/view/1992
1995,"Game, Set and Match",0,5,https://judge.beecrowd.com/en/problems/view/1995
1999,Ball of Reconciliation,227,4,https://judge.beecrowd.com/en/problems/view/1999
2001,Bile,72,10,https://judge.beecrowd.com/en/problems/view/2001
2007,Fence the Vegetables Fail,163,9,https://judge.beecrowd.com/en/problems/view/2007
2033,Interest on Loan,431,6,https://judge.beecrowd.com/en/problems/view/2033
2034,Cantor,26,7,https://judge.beecrowd.com/en/problems/view/2034
2044,In Debt,958,1,https://judge.beecrowd.com/en/problems/view/2044
2063,Hunting Digletts,663,4,https://judge.beecrowd.com/en/problems/view/2063
2066,melborP A,299,3,https://judge.beecrowd.com/en/problems/view/2066
2068,Setting up a Date,145,6,https://judge.beecrowd.com/en/problems/view/2068
2069,Inês Venezuela's Square Table,195,7,https://judge.beecrowd.com/en/problems/view/2069
2076,Great Allocation of Commodities,74,9,https://judge.beecrowd.com/en/problems/view/2076
2084,Elections,845,6,https://judge.beecrowd.com/en/problems/view/2084
2096,Horace and His Primes,103,7,https://judge.beecrowd.com/en/problems/view/2096
2100,Xing Tzen Zu’s Movie Theater,204,4,https://judge.beecrowd.com/en/problems/view/2100
2101,Day Combinations,119,5,https://judge.beecrowd.com/en/problems/view/2101
2107,The Ekaterinburg Pyramids,33,5,https://judge.beecrowd.com/en/problems/view/2107
2114,Poker,6,5,https://judge.beecrowd.com/en/problems/view/2114
2129,Factorial,512,8,https://judge.beecrowd.com/en/problems/view/2129
2133,Dinostratus Numbers,74,9,https://judge.beecrowd.com/en/problems/view/2133
2135,Retrieval,321,5,https://judge.beecrowd.com/en/problems/view/2135
2145,The Love Life of the Numbers,154,8,https://judge.beecrowd.com/en/problems/view/2145
2148,Dice Seat,197,6,https://judge.beecrowd.com/en/problems/view/2148
2149,The Uncle Phill Bonati's Sequence,1491,4,https://judge.beecrowd.com/en/problems/view/2149
2154,Polynomial Derivative,798,3,https://judge.beecrowd.com/en/problems/view/2154
2170,Taxes of Project,1731,5,https://judge.beecrowd.com/en/problems/view/2170
2177,Rio 2016,406,8,https://judge.beecrowd.com/en/problems/view/2177
2180,Travel to Mars in Primo Speed,1669,2,https://judge.beecrowd.com/en/problems/view/2180
2204,Stop The Bomb!,306,7,https://judge.beecrowd.com/en/problems/view/2204
2218,The Fearful Evil-Son,971,1,https://judge.beecrowd.com/en/problems/view/2218
2222,Playing with Sets,1807,8,https://judge.beecrowd.com/en/problems/view/2222
2232,Pascal's Triangle,4305,1,https://judge.beecrowd.com/en/problems/view/2232
2238,Dividers,2207,8,https://judge.beecrowd.com/en/problems/view/2238
2291,Divine Numbers,310,8,https://judge.beecrowd.com/en/problems/view/2291
2335,Arquibaldo's Challenge,87,9,https://judge.beecrowd.com/en/problems/view/2335
2337,Pro Ability,283,4,https://judge.beecrowd.com/en/problems/view/2337
2474,Mocking the System,97,9,https://judge.beecrowd.com/en/problems/view/2474
2489,Flecha no Coelho,414,2,https://judge.beecrowd.com/en/problems/view/2489
2494,Pens,226,8,https://judge.beecrowd.com/en/problems/view/2494
2497,Counting Cycles,1590,1,https://judge.beecrowd.com/en/problems/view/2497
2499,Internal Triangle,189,6,https://judge.beecrowd.com/en/problems/view/2499
2500,William Xorando,97,9,https://judge.beecrowd.com/en/problems/view/2500
2505,Autopotential,262,8,https://judge.beecrowd.com/en/problems/view/2505
2514,Lunar Alignment,945,5,https://judge.beecrowd.com/en/problems/view/2514
2516,Running,1079,3,https://judge.beecrowd.com/en/problems/view/2516
2584,Pentagon,873,4,https://judge.beecrowd.com/en/problems/view/2584
2589,The Biggest Prime Gap,292,9,https://judge.beecrowd.com/en/problems/view/2589
2596,Xenlonguinho,1413,2,https://judge.beecrowd.com/en/problems/view/2596
2597,Xenlongão,363,5,https://judge.beecrowd.com/en/problems/view/2597
2598,Placing Radars,1702,3,https://judge.beecrowd.com/en/problems/view/2598
2636,3-RSA,447,9,https://judge.beecrowd.com/en/problems/view/2636
2660,Periodical Cicadas,632,6,https://judge.beecrowd.com/en/problems/view/2660
2661,Stripped,1291,6,https://judge.beecrowd.com/en/problems/view/2661
2667,Mouth Game,2167,3,https://judge.beecrowd.com/en/problems/view/2667
2668,K-th,134,9,https://judge.beecrowd.com/en/problems/view/2668
2674,Super Primes: Engage!,3702,7,https://judge.beecrowd.com/en/problems/view/2674
2680,Payroll,451,8,https://judge.beecrowd.com/en/problems/view/2680
2681,Monkeys at Hanoi Tower,400,8,https://judge.beecrowd.com/en/problems/view/2681
2711,Unlocking a Cell Phone,166,10,https://judge.beecrowd.com/en/problems/view/2711
2726,Full Sleigh,33,9,https://judge.beecrowd.com/en/problems/view/2726
2735,Nina's Gift,53,8,https://judge.beecrowd.com/en/problems/view/2735
2767,Party,249,7,https://judge.beecrowd.com/en/problems/view/2767
2777,Dabriel's Subsets,102,5,https://judge.beecrowd.com/en/problems/view/2777
2801,Affine Cipher,84,9,https://judge.beecrowd.com/en/problems/view/2801
2817,Darlan's Gas Station,146,8,https://judge.beecrowd.com/en/problems/view/2817
2819,Letters To Santa,28,5,https://judge.beecrowd.com/en/problems/view/2819
2820,Bruna's Digits,50,9,https://judge.beecrowd.com/en/problems/view/2820
2822,My First Little Graph,48,10,https://judge.beecrowd.com/en/problems/view/2822
2828,Anagrams,339,8,https://judge.beecrowd.com/en/problems/view/2828
2839,The Rangel Stockings,2326,1,https://judge.beecrowd.com/en/problems/view/2839
2859,Digit Root,171,9,https://judge.beecrowd.com/en/problems/view/2859
2864,How Tall is It?,868,4,https://judge.beecrowd.com/en/problems/view/2864
2869,Talking about Divisor ...,502,8,https://judge.beecrowd.com/en/problems/view/2869
2873,Pyramid,286,6,https://judge.beecrowd.com/en/problems/view/2873
2878,Cortador de Pizza,406,8,https://judge.beecrowd.com/en/problems/view/2878
2886,Kepler,77,10,https://judge.beecrowd.com/en/problems/view/2886
2890,Coloring Tetrahedrons,312,5,https://judge.beecrowd.com/en/problems/view/2890
2892,Training On The Velodrome,102,10,https://judge.beecrowd.com/en/problems/view/2892
2903,A Symmetrical Pizza,840,7,https://judge.beecrowd.com/en/problems/view/2903
2937,Snake Norato,5,5,https://judge.beecrowd.com/en/problems/view/2937
2939,Couples,152,9,https://judge.beecrowd.com/en/problems/view/2939
2953,One More Game,250,2,https://judge.beecrowd.com/en/problems/view/2953
2955,Truuuuuco!,28,5,https://judge.beecrowd.com/en/problems/view/2955
2956,13 Variables Derivative,492,2,https://judge.beecrowd.com/en/problems/view/2956
2978,Card,85,10,https://judge.beecrowd.com/en/problems/view/2978
2981,We Are Going To Close,378,3,https://judge.beecrowd.com/en/problems/view/2981
2983,Not Everything is Strike,251,8,https://judge.beecrowd.com/en/problems/view/2983
2986,Not Everything is Strike Hard Version,305,1,https://judge.beecrowd.com/en/problems/view/2986
3002,Save Lilly!,110,5,https://judge.beecrowd.com/en/problems/view/3002
3004,Envelopes,816,3,https://judge.beecrowd.com/en/problems/view/3004
3007,Lucas and Frobenius,20,5,https://judge.beecrowd.com/en/problems/view/3007
3026,Periodic Integer Number,9,5,https://judge.beecrowd.com/en/problems/view/3026
3029,Function Composition,2,5,https://judge.beecrowd.com/en/problems/view/3029
3036,Shirt Color,223,9,https://judge.beecrowd.com/en/problems/view/3036
3049,Nota Cortada,1644,1,https://judge.beecrowd.com/en/problems/view/3049
3078,Só o Ouro,92,8,https://judge.beecrowd.com/en/problems/view/3078
3079,Illuminated Street,22,5,https://judge.beecrowd.com/en/problems/view/3079
3096,Overflow,297,7,https://judge.beecrowd.com/en/problems/view/3096
3099,The Problem of 7 x 1,85,5,https://judge.beecrowd.com/en/problems/view/3099
3102,Kikoho,466,3,https://judge.beecrowd.com/en/problems/view/3102
3104,Rest 2.0,447,10,https://judge.beecrowd.com/en/problems/view/3104
3110,Farcos and The Xorshift,8,5,https://judge.beecrowd.com/en/problems/view/3110
3138,Tobias Birthday,155,5,https://judge.beecrowd.com/en/problems/view/3138
3154,The Big Party,120,3,https://judge.beecrowd.com/en/problems/view/3154
3165,Twin Prime,593,1,https://judge.beecrowd.com/en/problems/view/3165
3179,Best Compression Ever,21,7,https://judge.beecrowd.com/en/problems/view/3179
3182,Event Planning,455,3,https://judge.beecrowd.com/en/problems/view/3182
3183,Fixing the Bugs,3,8,https://judge.beecrowd.com/en/problems/view/3183
3185,Hard Evidence,2,4,https://judge.beecrowd.com/en/problems/view/3185
3187,Just a Few More Triangles!,5,7,https://judge.beecrowd.com/en/problems/view/3187
3216,Allergic Test,17,6,https://judge.beecrowd.com/en/problems/view/3216
3223,Code Permutations,2,4,https://judge.beecrowd.com/en/problems/view/3223
3257,Planting Trees,379,2,https://judge.beecrowd.com/en/problems/view/3257
3259,Number Trick,6,7,https://judge.beecrowd.com/en/problems/view/3259
3265,Dance Reconstruction,0,7,https://judge.beecrowd.com/en/problems/view/3265
3266,Dartboard,72,4,https://judge.beecrowd.com/en/problems/view/3266
3270,Catalan Square,95,5,https://judge.beecrowd.com/en/problems/view/3270
3271,Dice Game,105,5,https://judge.beecrowd.com/en/problems/view/3271
3272,Opening Ceremony,38,5,https://judge.beecrowd.com/en/problems/view/3272
3276,How Many Squares?,6,5,https://judge.beecrowd.com/en/problems/view/3276
3304,Any Luck!,73,4,https://judge.beecrowd.com/en/problems/view/3304
3308,Elevator,194,4,https://judge.beecrowd.com/en/problems/view/3308
3312,Math Beginner,443,2,https://judge.beecrowd.com/en/problems/view/3312
3339,Karina,402,3,https://judge.beecrowd.com/en/problems/view/3339
3341,Dice Grandmaster,13,10,https://judge.beecrowd.com/en/problems/view/3341
3345,Ferdinaccis Hobby,37,5,https://judge.beecrowd.com/en/problems/view/3345
3354,Joãozinho Comes to the South,23,3,https://judge.beecrowd.com/en/problems/view/3354
